rawdate,datestring,fulltime,timestring,,
2018/8/22,20180822,,,,
2018/8/23,20180823,,,,
2018/8/24,20180824,,,,
2018/8/25,20180825,,,,
2018/8/26,20180826,,,,
2018/8/27,20180827,,,,
2018/8/28,20180828,,,,
2018/8/29,20180829,,,,
2018/8/30,20180830,,,,
2018/8/31,20180831,,,,
2018/9/1,20180901,,,,
2018/9/2,20180902,,,,
2018/9/3,20180903,,,,
2018/9/4,20180904,,,,
2018/9/5,20180905,,,,
2018/9/6,20180906,,,,
2018/9/7,20180907,,,,
2018/9/8,20180908,,,,
2018/9/9,20180909,,,,
2018/9/10,20180910,,,,
2018/9/11,20180911,,,,
2018/9/12,20180912,,,,
2018/9/13,20180913,,,,
2018/9/14,20180914,,,,
2018/9/15,20180915,,,,
2018/9/16,20180916,,,,
2018/9/17,20180917,,,,
2018/9/18,20180918,,,,
2018/9/19,20180919,,,,
2018/9/20,20180920,,,,
2018/9/21,20180921,,,,
2018/9/22,20180922,,,,
2018/9/23,20180923,,,,
2018/9/24,20180924,,,,
2018/9/25,20180925,,,,
2018/9/26,20180926,,,,
2018/9/27,20180927,,,,
2018/9/28,20180928,,,,
2018/9/29,20180929,,,,
2018/9/30,20180930,,,,
2018/10/1,20181001,,,,
2018/10/2,20181002,,,,
2018/10/3,20181003,,,,
2018/10/4,20181004,,,,
2018/10/5,20181005,,,,
2018/10/6,20181006,,,,
2018/10/7,20181007,,,,
2018/10/8,20181008,,,,
2018/10/9,20181009,,,,
2018/10/10,20181010,,,,
2018/10/11,20181011,,,,
2018/10/12,20181012,,,,
2018/10/13,20181013,,,,
2018/10/14,20181014,,,,
2018/10/15,20181015,,,,
2018/10/16,20181016,,,,
2018/10/17,20181017,,,,
2018/10/18,20181018,,,,
2018/10/19,20181019,,,,
2018/10/20,20181020,,,,
2018/10/21,20181021,,,,
2018/10/22,20181022,,,,
2018/10/23,20181023,,,,
2018/10/24,20181024,,,,
2018/10/25,20181025,,,,
2018/10/26,20181026,,,,
2018/10/27,20181027,,,,
2018/10/28,20181028,,,,
2018/10/29,20181029,,,,
2018/10/30,20181030,,,,
2018/10/31,20181031,,,,
2018/11/1,20181101,,,,
2018/11/2,20181102,,,,
2018/11/3,20181103,,,,
2018/11/4,20181104,,,,
2018/11/5,20181105,,,,
2018/11/6,20181106,,,,
2018/11/7,20181107,,,,
2018/11/8,20181108,,,,
2018/11/9,20181109,,,,
2018/11/10,20181110,,,,
2018/11/11,20181111,,,,
2018/11/12,20181112,,,,
2018/11/13,20181113,,,,
2018/11/14,20181114,,,,
2018/11/15,20181115,,,,
2018/11/16,20181116,,,,
2018/11/17,20181117,,,,
2018/11/18,20181118,,,,
2018/11/19,20181119,,,,
2018/11/20,20181120,,,,
2018/11/21,20181121,,,,
2018/11/22,20181122,,,,
2018/11/23,20181123,,,,
2018/11/24,20181124,,,,
2018/11/25,20181125,,,,
